entry,exit,net,lot,credit,reason,max_loss
2023-03-14,2023-03-15,3472.99961135,50,40.45,take_profit,10477.5
2023-03-21,2023-03-22,1745.1122712499998,50,23.75,take_profit,11312.5
2023-03-28,2023-03-29,267.39708195000014,50,7.150000000000001,take_profit,12142.5
2023-04-11,2023-04-12,389.60876630000007,50,6.800000000000001,take_profit,12160.0
2023-04-18,2023-04-19,384.6572663,50,5.749999999999999,take_profit,12212.5
2023-04-25,2023-04-26,204.796031,50,4.25,take_profit,12287.5
2023-05-02,2023-05-03,664.3890528999999,50,6.8,take_profit,12160.0
2023-05-09,2023-05-10,409.46716840000005,50,6.950000000000002,take_profit,12152.5
2023-05-16,2023-05-17,541.95941945,50,6.949999999999999,take_profit,12152.5
2023-05-23,2023-05-24,372.10020095000004,50,5.700000000000001,take_profit,12215.0
2023-05-30,2023-05-31,1019.0000461,50,8.6,take_profit,12070.0
2023-06-06,2023-06-07,239.7162343,50,4.999999999999999,take_profit,12250.0
2023-06-13,2023-06-14,254.6584667,50,5.0,take_profit,12250.0
2023-06-20,2023-06-21,249.6835089,50,5.199999999999999,take_profit,12240.0
2023-07-04,2023-07-05,606.3974212500002,50,9.8,take_profit,12010.0
2023-07-11,2023-07-12,494.4666045,50,5.799999999999998,take_profit,12210.0
2023-07-18,2023-07-19,628.9429496999999,50,11.049999999999999,take_profit,11947.5
2023-07-25,2023-07-26,701.83762975,50,7.899999999999999,take_profit,12105.0
2023-08-01,2023-08-02,3857.3694835999995,50,10.749999999999998,take_profit,11962.5
2023-08-08,2023-08-09,474.39079300000014,50,8.6,take_profit,12070.0
2023-08-22,2023-08-23,212.31391234999998,50,4.1,take_profit,12295.0
2023-08-29,2023-08-30,197.37673405,50,3.9000000000000004,take_profit,12305.0
2023-09-05,2023-09-06,277.09553085,50,5.8999999999999995,take_profit,12205.0
2023-09-12,2023-09-13,546.45033885,50,9.45,take_profit,12027.5
2023-09-26,2023-09-27,319.66270439999994,50,5.85,take_profit,12207.5
2023-10-03,2023-10-04,836.7592617499998,50,8.950000000000001,take_profit,12052.5
2023-10-10,2023-10-11,748.8096231,50,12.700000000000001,take_profit,11865.0
2023-10-17,2023-10-18,744.3729185,50,6.3999999999999995,take_profit,12180.0
2023-10-31,2023-11-01,2165.3780975500003,50,18.35,take_profit,11582.5
2023-11-07,2023-11-08,374.5770372,50,7.4,take_profit,12130.0
2023-11-21,2023-11-22,319.6493548000001,50,6.699999999999999,take_profit,12165.0
2023-11-28,2023-11-29,956.86562615,50,4.7,take_profit,12265.0
2023-12-05,2023-12-06,895.6693468500001,50,16.6,take_profit,11670.0
2023-12-12,2023-12-13,1235.7889156499998,50,20.599999999999998,take_profit,11470.0
2023-12-19,2023-12-20,5251.5592814500005,50,15.049999999999999,take_profit,11747.5
2023-12-26,2023-12-27,2521.9831616,50,21.649999999999995,take_profit,11417.5
2024-01-02,2024-01-03,2682.2407271,50,22.249999999999996,take_profit,11387.5
2024-01-09,2024-01-10,958.7069567,50,17.3,take_profit,11635.0
2024-01-16,2024-01-17,8307.78333365,50,18.9,take_profit,11555.0
2024-01-23,2024-01-24,4761.711223149999,50,37.0,take_profit,10650.0
2024-01-30,2024-01-31,5636.5195045499995,50,66.25,take_profit,9187.5
2024-02-06,2024-02-07,2525.714011299999,50,41.44999999999999,take_profit,10427.5
2024-02-13,2024-02-14,2693.2347742500006,50,40.35000000000001,take_profit,10482.499999999998
2024-02-20,2024-02-21,2871.4075613,50,30.599999999999998,take_profit,10970.0
2024-02-27,2024-02-28,4755.0630867,50,29.849999999999994,take_profit,11007.5
2024-03-05,2024-03-06,1577.4826116,50,25.85,take_profit,11207.5
2024-03-12,2024-03-13,8854.9090741,50,27.350000000000005,take_profit,11132.5
2024-03-19,2024-03-20,2094.6091926500003,50,32.45,take_profit,10877.5
2024-03-26,2024-03-27,1168.3085855000002,50,21.1,take_profit,11445.0
2024-04-02,2024-04-03,1300.85946895,50,18.55,take_profit,11572.5
2024-04-09,2024-04-10,459.5016339000001,50,11.05,take_profit,11947.5
2024-04-16,2024-04-18,738.9509442999997,50,16.2,take_profit,11690.0
2024-04-23,2024-04-24,711.1691356499999,50,12.299999999999999,take_profit,11885.0
2024-04-30,2024-05-02,326.08359087499986,25,16.799999999999997,take_profit,5830.0
2024-05-07,2024-05-08,1203.526391,25,37.75,take_profit,5306.25
2024-05-14,2024-05-15,802.8101747750001,25,23.949999999999996,take_profit,5651.25
2024-05-21,2024-05-22,816.4247501,25,27.750000000000004,take_profit,5556.25
2024-05-28,2024-05-29,1816.6840611249995,25,33.5,take_profit,5412.5
2024-06-04,2024-06-05,7436.317941625,25,118.60000000000002,take_profit,3284.9999999999995
2024-06-11,2024-06-12,1042.2972646750002,25,32.85,take_profit,5428.75
2024-06-18,2024-06-19,457.15302859999997,25,12.549999999999999,take_profit,5936.25
2024-06-25,2024-06-26,882.674471575,25,21.95,take_profit,5701.25
2024-07-02,2024-07-03,772.7899462749998,25,26.099999999999998,take_profit,5597.5
2024-07-09,2024-07-10,578.3956428749999,25,11.4,take_profit,5965.0
2024-07-16,2024-07-18,46.54813932500004,25,5.550000000000001,take_profit,6111.25
2024-07-23,2024-07-24,1193.2270487,25,36.1,take_profit,5347.5
2024-07-30,2024-07-31,687.9803866249998,25,18.75,take_profit,5781.25
2024-08-06,2024-08-07,2314.6769060750003,25,45.900000000000006,take_profit,5102.5
2024-08-13,2024-08-14,282.28163670000004,25,15.05,take_profit,5873.75
2024-08-20,2024-08-21,317.29227935,25,12.15,take_profit,5946.25
2024-08-27,2024-08-28,186.244739225,25,8.6,take_profit,6035.0
2024-09-03,2024-09-04,568.3748262749999,25,12.249999999999998,take_profit,5943.75
2024-09-10,2024-09-11,713.3307265249998,25,11.699999999999996,take_profit,5957.5
2024-09-17,2024-09-18,982.3370141750003,25,16.6,take_profit,5835.0
2024-09-24,2024-09-25,433.111774275,25,14.650000000000002,take_profit,5883.75
2024-10-01,2024-10-03,6490.27645235,25,12.200000000000003,take_profit,5945.0
2024-10-08,2024-10-09,1827.8985081750002,25,48.35,take_profit,5041.25
2024-10-15,2024-10-16,776.7125381499998,25,22.65,take_profit,5683.75
2024-10-22,2024-10-23,1119.6136495750002,25,34.5,take_profit,5387.5
2024-10-29,2024-10-30,619.2888356999999,25,15.3,take_profit,5867.5
2024-11-05,2024-11-06,2297.024202075,25,64.3,take_profit,4642.5
2024-11-12,2024-11-13,3276.23395555,25,30.0,take_profit,5500.0
2024-11-19,2024-11-21,1937.650238125,75,27.0,take_profit,16725.0
2024-11-26,2024-11-27,2588.823276625,75,26.6,take_profit,16755.0
2024-12-03,2024-12-04,5276.500365324999,75,40.15,take_profit,15738.75
2024-12-10,2024-12-11,3491.0174121999994,75,37.199999999999996,take_profit,15960.0
2024-12-17,2024-12-18,5389.362818125001,75,38.6,take_profit,15855.0
2024-12-24,2024-12-26,874.7377795749998,75,12.949999999999998,take_profit,17778.75
2024-12-31,2025-01-01,6112.529837349999,75,48.9,take_profit,15082.5
2025-01-07,2025-01-08,3817.291821325001,75,38.800000000000004,take_profit,15840.0
2025-01-14,2025-01-15,1704.9617572749999,75,16.449999999999996,take_profit,17516.25
2025-01-21,2025-01-22,4250.781578724999,75,45.599999999999994,take_profit,15330.0
2025-01-28,2025-01-29,9218.822458525,75,48.849999999999994,take_profit,15086.25
2025-02-04,2025-02-05,2154.785735425,75,18.9,take_profit,17332.5
2025-02-11,2025-02-12,4765.7273512,75,39.15,take_profit,15813.75
2025-02-18,2025-02-19,3563.4563041750007,75,34.60000000000001,take_profit,16154.999999999998
2025-02-25,2025-02-27,339.31582210000005,75,5.800000000000001,take_profit,18315.0
2025-03-04,2025-03-05,3893.6021829250003,75,32.4,take_profit,16320.0
2025-03-11,2025-03-12,2795.49276715,75,28.1,take_profit,16642.5
2025-03-18,2025-03-19,2627.054268925,75,21.4,take_profit,17145.0
2025-03-25,2025-03-26,4371.836562625001,75,28.450000000000006,take_profit,16616.25
2025-04-01,2025-04-02,3116.1984413500004,75,30.200000000000003,take_profit,16485.0
2025-04-08,2025-04-09,4349.420726125001,75,59.400000000000006,take_profit,14295.0
2025-04-15,2025-04-16,2925.4260435249994,75,21.45,take_profit,17141.25
2025-04-22,2025-04-23,2771.34412285,75,20.15,take_profit,17238.75
2025-04-29,2025-04-30,465.6426061000002,75,7.450000000000003,take_profit,18191.25
2025-05-06,2025-05-07,1813.7686455250002,75,14.800000000000004,take_profit,17640.0
2025-05-13,2025-05-14,5447.7440785750005,75,53.300000000000004,take_profit,14752.5
2025-05-20,2025-05-21,5104.668529075,75,37.0,take_profit,15975.0
